Best:  EFST: [x, y]: [493 496], 2 f: 0.00296 s: 0.00257 g: 19, idx: 73, ggf: 1.00000, nof: 1.00000, nwof: 0.87013
Selection:  EFST: [x, y]: [492 497], 0 f: 0.00296 s: 0.00296 g: 20, idx: 75, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Best:  EFST: [x, y]: [493 496], 2 f: 0.00296 s: 0.00258 g: 19, idx: 73, ggf: 1.00000, nof: 1.00000, nwof: 0.87179
Selection:  EFST: [x, y]: [492 497], 1 f: 0.00296 s: 0.00296 g: 20, idx: 75, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Best:  EFST: [x, y]: [493 496], 2 f: 0.00296 s: 0.00258 g: 19, idx: 73, ggf: 1.00000, nof: 1.00000, nwof: 0.87342
Selection:  EFST: [x, y]: [491 498], 0 f: 0.00296 s: 0.00296 g: 21, idx: 79, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Best:  EFST: [x, y]: [493 496], 2 f: 0.00296 s: 0.00259 g: 19, idx: 73, ggf: 1.00000, nof: 1.00000, nwof: 0.87500
Selection:  EFST: [x, y]: [491 498], 1 f: 0.00296 s: 0.00296 g: 21, idx: 79, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Best:  EFST: [x, y]: [493 496], 2 f: 0.00296 s: 0.00259 g: 19, idx: 73, ggf: 1.00000, nof: 1.00000, nwof: 0.87654
Selection:  EFST: [x, y]: [494 497], 1 f: 0.00294 s: 0.00294 g: 18, idx: 72, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Best:  EFST: [x, y]: [493 496], 2 f: 0.00296 s: 0.00260 g: 19, idx: 73, ggf: 1.00000, nof: 1.00000, nwof: 0.87805
Selection:  EFST: [x, y]: [493 498], 0 f: 0.00294 s: 0.00294 g: 21, idx: 76, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Best:  EFST: [x, y]: [493 496], 2 f: 0.00296 s: 0.00260 g: 19, idx: 73, ggf: 1.00000, nof: 1.00000, nwof: 0.87952
Selection:  EFST: [x, y]: [493 498], 1 f: 0.00294 s: 0.00294 g: 21, idx: 76, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Best:  EFST: [x, y]: [493 496], 2 f: 0.00296 s: 0.00260 g: 19, idx: 73, ggf: 1.00000, nof: 1.00000, nwof: 0.88095
Selection:  EFST: [x, y]: [494 497], 0 f: 0.00294 s: 0.00294 g: 22, idx: 84, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Best:  EFST: [x, y]: [493 496], 2 f: 0.00296 s: 0.00259 g: 19, idx: 73, ggf: 1.00000, nof: 1.00000, nwof: 0.87647
Selection:  EFST: [x, y]: [494 497], 1 f: 0.00294 s: 0.00294 g: 22, idx: 84, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Best:  EFST: [x, y]: [493 496], 2 f: 0.00296 s: 0.00260 g: 19, idx: 73, ggf: 1.00000, nof: 1.00000, nwof: 0.87791
Selection:  EFST: [x, y]: [493 498], 2 f: 0.00294 s: 0.00294 g: 21, idx: 76, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Best:  EFST: [x, y]: [493 496], 2 f: 0.00296 s: 0.00260 g: 19, idx: 73, ggf: 1.00000, nof: 1.00000, nwof: 0.87931
Selection:  EFST: [x, y]: [493 498], 0 f: 0.00294 s: 0.00294 g: 21, idx: 77, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Best:  EFST: [x, y]: [493 496], 2 f: 0.00296 s: 0.00260 g: 19, idx: 73, ggf: 1.00000, nof: 1.00000, nwof: 0.88068
Selection:  EFST: [x, y]: [493 498], 1 f: 0.00294 s: 0.00294 g: 21, idx: 77, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Best:  EFST: [x, y]: [493 496], 2 f: 0.00296 s: 0.00261 g: 19, idx: 73, ggf: 1.00000, nof: 1.00000, nwof: 0.88202
Selection:  EFST: [x, y]: [493 498], 0 f: 0.00294 s: 0.00294 g: 21, idx: 78, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Best:  EFST: [x, y]: [493 496], 2 f: 0.00296 s: 0.00261 g: 19, idx: 73, ggf: 1.00000, nof: 1.00000, nwof: 0.88333
Selection:  EFST: [x, y]: [492 497], 0 f: 0.00296 s: 0.00296 g: 22, idx: 90, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Best:  EFST: [x, y]: [493 496], 2 f: 0.00296 s: 0.00261 g: 19, idx: 73, ggf: 1.00000, nof: 1.00000, nwof: 0.88462
Selection:  EFST: [x, y]: [491 496], 0 f: 0.00297 s: 0.00297 g: 23, idx: 91, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Best:  EFST: [x, y]: [491 496], 0 f: 0.00297 s: 0.00297 g: 23, idx: 91, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Selection:  EFST: [x, y]: [491 496], 1 f: 0.00297 s: 0.00297 g: 23, idx: 91, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Best:  EFST: [x, y]: [491 496], 1 f: 0.00297 s: 0.00297 g: 23, idx: 91, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Selection:  EFST: [x, y]: [490 497], 0 f: 0.00297 s: 0.00297 g: 24, idx: 92, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Best:  EFST: [x, y]: [491 496], 2 f: 0.00297 s: 0.00264 g: 23, idx: 91, ggf: 1.00000, nof: 1.00000, nwof: 0.88830
Selection:  EFST: [x, y]: [490 497], 1 f: 0.00297 s: 0.00297 g: 24, idx: 92, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Best:  EFST: [x, y]: [491 496], 2 f: 0.00297 s: 0.00264 g: 23, idx: 91, ggf: 1.00000, nof: 1.00000, nwof: 0.88947
Selection:  EFST: [x, y]: [491 496], 0 f: 0.00297 s: 0.00297 g: 25, idx: 95, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Best:  EFST: [x, y]: [491 496], 2 f: 0.00297 s: 0.00263 g: 23, idx: 91, ggf: 1.00000, nof: 1.00000, nwof: 0.88542
Selection:  EFST: [x, y]: [490 495], 0 f: 0.00298 s: 0.00298 g: 26, idx: 96, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Best:  EFST: [x, y]: [490 495], 0 f: 0.00298 s: 0.00298 g: 26, idx: 96, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Selection:  EFST: [x, y]: [490 495], 1 f: 0.00298 s: 0.00298 g: 26, idx: 96, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Best:  EFST: [x, y]: [490 495], 1 f: 0.00298 s: 0.00298 g: 26, idx: 96, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
